"","TrustLG","Year","Educ"
"1",4,2001,2
"2",1,2001,1
"3",4,2001,2
"4",2,2001,2
"5",3,2001,3
"6",3,2001,2
"7",3,2001,2
"8",1,2001,2
"9",2,2001,1
"10",2,2001,3
"11",1,2001,1
"12",1,2001,3
"13",2,2001,1
"14",2,2001,2
"15",2,2001,2
"16",4,2001,2
"17",3,2001,1
"18",2,2001,1
"19",2,2001,3
"20",2,2001,4
"21",3,2001,2
"22",2,2001,1
"23",1,2001,2
"24",3,2001,2
"25",4,2001,1
"26",4,2001,1
"27",1,2001,2
"28",1,2001,2
"29",4,2001,1
"30",1,2001,2
"31",1,2001,2
"32",5,2001,2
"33",2,2001,1
"34",1,2001,2
"35",1,2001,3
"36",2,2001,2
"37",1,2001,1
"38",2,2001,1
"39",1,2001,1
"40",1,2001,2
"41",1,2001,2
"42",1,2001,2
"43",3,2001,2
"44",2,2001,2
"45",1,2001,4
"46",3,2001,2
"47",2,2001,3
"48",1,2001,2
"49",1,2001,2
"50",3,2001,2
"51",1,2001,2
"52",3,2001,2
"53",4,2001,1
"54",2,2001,2
"55",1,2001,2
"56",1,2001,4
"57",1,2001,3
"58",1,2001,1
"59",3,2001,1
"60",2,2001,3
"61",3,2001,2
"62",1,2001,4
"63",1,2001,2
"64",2,2001,1
"65",1,2001,2
"66",2,2001,1
"67",1,2001,2
"68",2,2001,2
"69",3,2001,3
"70",3,2001,2
"71",2,2001,3
"72",1,2001,1
"73",2,2001,1
"74",2,2001,1
"75",2,2001,3
"76",1,2001,3
"77",1,2001,2
"78",4,2001,2
"79",2,2001,4
"80",1,2001,1
"81",1,2001,1
"82",3,2001,2
"83",1,2001,3
"84",4,2001,1
"85",1,2001,1
"86",2,2001,1
"87",1,2001,2
"88",2,2001,2
"89",1,2001,4
"90",3,2001,1
"91",2,2001,2
"92",2,2001,1
"93",2,2001,3
"94",2,2001,2
"95",2,2001,2
"96",4,2001,1
"97",1,2001,1
"98",2,2001,2
"99",1,2001,2
"100",1,2001,2
"101",3,2001,3
"102",2,2001,2
"103",5,2001,2
"104",2,2001,1
"105",1,2001,3
"106",2,2001,1
"107",2,2001,2
"108",2,2001,2
"109",1,2001,2
"110",2,2001,1
"111",1,2001,3
"112",1,2001,3
"113",5,2001,1
"114",5,2001,1
"115",1,2001,4
"116",2,2001,2
"117",1,2001,2
"118",1,2001,2
"119",1,2001,3
"120",2,2001,2
"121",1,2001,2
"122",2,2001,1
"123",2,2001,3
"124",2,2001,2
"125",1,2001,4
"126",2,2001,2
"127",2,2001,3
"128",4,2001,2
"129",1,2001,4
"130",1,2001,3
"131",1,2001,3
"132",2,2001,1
"133",1,2001,2
"134",1,2001,1
"135",1,2001,2
"136",1,2001,1
"137",1,2001,2
"138",3,2001,2
"139",1,2001,2
"140",4,2001,2
"141",1,2001,2
"142",1,2001,3
"143",1,2001,2
"144",1,2001,2
"145",1,2001,2
"146",1,2001,3
"147",1,2001,2
"148",2,2001,2
"149",1,2001,2
"150",4,2001,2
"151",4,2001,1
"152",1,2001,2
"153",1,2001,2
"154",2,2001,3
"155",1,2001,2
"156",2,2001,2
"157",1,2001,1
"158",1,2001,2
"159",1,2001,1
"160",2,2001,1
"161",1,2001,2
"162",2,2001,3
"163",5,2001,2
"164",2,2001,2
"165",2,2001,3
"166",3,2001,3
"167",1,2001,2
"168",3,2001,3
"169",4,2001,1
"170",2,2001,1
"171",2,2001,2
"172",2,2001,2
"173",2,2001,1
"174",3,2001,1
"175",1,2001,1
"176",1,2001,2
"177",1,2001,2
"178",1,2001,2
"179",2,2001,2
"180",1,2001,2
"181",4,2001,1
"182",2,2001,1
"183",3,2001,2
"184",1,2001,1
"185",1,2001,3
"186",2,2001,2
"187",4,2001,2
"188",2,2001,2
"189",2,2001,1
"190",3,2001,2
"191",2,2001,2
"192",4,2001,1
"193",1,2001,2
"194",1,2001,1
"195",1,2001,2
"196",2,2001,2
"197",3,2001,1
"198",2,2001,4
"199",2,2001,2
"200",2,2001,1
"201",4,2001,4
"202",1,2001,2
"203",4,2001,1
"204",2,2001,2
"205",1,2001,4
"206",3,2001,2
"207",4,2001,1
"208",3,2001,1
"209",4,2001,2
"210",2,2001,2
"211",3,2001,2
"212",1,2001,3
"213",3,2001,1
"214",3,2001,1
"215",4,2001,2
"216",2,2001,2
"217",1,2001,2
"218",1,2001,2
"219",1,2001,2
"220",2,2001,3
"221",1,2001,4
"222",1,2001,2
"223",3,2001,1
"224",4,2001,4
"225",4,2001,1
"226",2,2001,2
"227",3,2001,1
"228",1,2001,2
"229",3,2001,2
"230",2,2001,2
"231",1,2001,2
"232",2,2001,3
"233",3,2001,2
"234",2,2001,2
"235",2,2001,3
"236",2,2001,2
"237",2,2001,1
"238",2,2001,3
"239",2,2001,3
"240",3,2001,2
"241",3,2001,1
"242",3,2001,2
"243",2,2001,4
"244",1,2001,3
"245",3,2001,3
"246",2,2001,3
"247",2,2001,1
"248",2,2001,2
"249",4,2001,2
"250",1,2001,1
"251",2,2001,2
"252",2,2001,2
"253",2,2001,2
"254",4,2001,2
"255",2,2001,2
"256",3,2001,1
"257",2,2001,2
"258",1,2001,2
"259",4,2001,2
"260",1,2001,1
"261",2,2001,3
"262",1,2001,2
"263",3,2001,3
"264",1,2001,3
"265",3,2001,1
"266",2,2001,3
"267",3,2001,2
"268",4,2001,2
"269",3,2001,2
"270",3,2001,3
"271",2,2001,2
"272",1,2001,3
"273",2,2001,1
"274",3,2001,3
"275",2,2001,3
"276",3,2001,1
"277",1,2001,1
"278",2,2001,2
"279",2,2001,2
"280",4,2001,3
"281",2,2001,2
"282",1,2001,3
"283",5,2001,2
"284",1,2001,2
"285",2,2001,2
"286",2,2001,1
